Bill_ID,Amount,Customer_ID
0,443.09,customer_249@gmail.com
1,210.36,customer_401@gmail.com
2,247.65,customer_454@gmail.com
3,608.24,customer_430@gmail.com
4,168.04,customer_646@gmail.com
5,169.72,customer_292@gmail.com
6,144.17,customer_360@gmail.com
7,435.14,customer_631@gmail.com
8,448.7,customer_18@gmail.com
9,449.73,customer_362@gmail.com
10,622.08,customer_596@gmail.com
11,240.3,customer_339@gmail.com
12,295.47,customer_322@gmail.com
13,494.06,customer_12@gmail.com
14,221.56,customer_116@gmail.com
15,462.5,customer_470@gmail.com
16,316.27,customer_616@gmail.com
17,901.82,customer_394@gmail.com
18,426.69,customer_698@gmail.com
19,656.78,customer_157@gmail.com
20,682.2,customer_661@gmail.com
21,170.05,customer_18@gmail.com
22,412.88,customer_145@gmail.com
23,388.52,customer_654@gmail.com
24,602.99,customer_440@gmail.com
25,398.25,customer_590@gmail.com
26,332.25,customer_42@gmail.com
27,333.74,customer_463@gmail.com
28,603.68,customer_161@gmail.com
29,223.54,customer_205@gmail.com
30,461.39,customer_280@gmail.com
31,469.95,customer_104@gmail.com
32,359.82,customer_514@gmail.com
33,495.61,customer_107@gmail.com
34,653.79,customer_487@gmail.com
35,562.96,customer_364@gmail.com
36,446.06,customer_74@gmail.com
37,662.96,customer_169@gmail.com
38,663.58,customer_678@gmail.com
39,612.3,customer_532@gmail.com
40,505.56,customer_178@gmail.com
41,405.82,customer_48@gmail.com
42,419.01,customer_376@gmail.com
43,535.46,customer_102@gmail.com
44,377.82,customer_486@gmail.com
45,463.51,customer_692@gmail.com
46,205.6,customer_621@gmail.com
47,465.52,customer_634@gmail.com
48,434.2,customer_217@gmail.com
49,235.44,customer_683@gmail.com
50,315.89,customer_15@gmail.com
51,508.84,customer_613@gmail.com
52,784.88,customer_457@gmail.com
53,297.12,customer_375@gmail.com
54,323.1,customer_625@gmail.com
55,308.15,customer_522@gmail.com
56,511.68,customer_24@gmail.com
57,604.85,customer_551@gmail.com
58,318.77,customer_11@gmail.com
59,400.54,customer_656@gmail.com
60,177.8,customer_75@gmail.com
61,224.48,customer_128@gmail.com
62,111.14,customer_49@gmail.com
63,330.86,customer_115@gmail.com
64,186.88,customer_448@gmail.com
65,525.53,customer_537@gmail.com
66,556.28,customer_171@gmail.com
67,731.65,customer_526@gmail.com
68,325.44,customer_239@gmail.com
69,354.48,customer_537@gmail.com
70,629.87,customer_522@gmail.com
71,621.07,customer_238@gmail.com
72,325.23,customer_663@gmail.com
73,692.04,customer_561@gmail.com
74,178.51,customer_113@gmail.com
75,398.61,customer_196@gmail.com
76,933.16,customer_683@gmail.com
77,589.79,customer_146@gmail.com
78,97.59,customer_359@gmail.com
79,352.08,customer_294@gmail.com
80,453.63,customer_535@gmail.com
81,732.34,customer_68@gmail.com
82,596.11,customer_629@gmail.com
83,449.81,customer_298@gmail.com
84,233.24,customer_379@gmail.com
85,459.72,customer_295@gmail.com
86,219.41,customer_301@gmail.com
87,558.37,customer_241@gmail.com
88,454.26,customer_322@gmail.com
89,307.67,customer_495@gmail.com
90,440.25,customer_571@gmail.com
91,435.48,customer_3@gmail.com
92,422.87,customer_343@gmail.com
93,285.44,customer_494@gmail.com
94,392.13,customer_365@gmail.com
95,442.66,customer_248@gmail.com
96,440.21,customer_82@gmail.com
97,248.58,customer_613@gmail.com
98,416.04,customer_545@gmail.com
99,501.61,customer_183@gmail.com
100,675.93,customer_477@gmail.com
101,411.38,customer_123@gmail.com
102,635.52,customer_637@gmail.com
103,603.0,customer_666@gmail.com
104,404.43,customer_467@gmail.com
105,210.97,customer_695@gmail.com
106,403.87,customer_531@gmail.com
107,223.12,customer_639@gmail.com
108,582.82,customer_40@gmail.com
109,294.76,customer_344@gmail.com
110,354.93,customer_357@gmail.com
111,315.48,customer_242@gmail.com
112,436.94,customer_475@gmail.com
113,461.23,customer_654@gmail.com
114,343.47,customer_461@gmail.com
115,686.35,customer_241@gmail.com
116,928.61,customer_223@gmail.com
